agent,n_episodes,P,M,D,share_exhaustion,D_all,scenario,M_per_product,D_per_product,break_even_m,break_even_h
optimal_assignment,1,96173.0,923969.0,57848.0,,57848.0,very_long,9.607363813128424,0.6014993813232404,0.10408682542379669,1.662512100677638
a2c_mlp,1,88038.0,821965.0,76882.0,0.5851805695497693,76882.0,very_long,9.336479701946887,0.8732819918671483,0.10710675028742099,1.1451054863297
round_robin,1,86841.0,839957.0,61959.0,0.4973288787746736,61959.0,very_long,9.672355223914971,0.713476353335406,0.10338743530918845,1.4015881470004359
grpo_mlp,1,85392.0,803957.0,78149.0,0.6031697691829406,78149.0,very_long,9.414898351133596,0.9151794079070639,0.10621463585739038,1.0926819281116842
grpo_mlp_last,1,83970.0,814445.0,78807.0,,78807.0,very_long,9.699237823032036,0.9385137549124687,0.10310088465151115,1.0655144847538924
least_fatigued,1,83747.0,838176.0,50606.0,0.3806860846539936,50606.0,very_long,10.008430152721889,0.6042723918468721,0.09991576948039553,1.6548828202189463
shortest_queue,1,83747.0,838176.0,50606.0,0.3806860846539936,50606.0,very_long,10.008430152721889,0.6042723918468721,0.09991576948039553,1.6548828202189463
dql_mlp,1,83032.0,807793.0,75511.0,0.5873544755811021,75511.0,very_long,9.728694960978899,0.9094204643992677,0.1027887094837415,1.0996013825800215
a2c_mlp_last,1,82980.0,803192.0,76113.0,,76113.0,very_long,9.67934442034225,0.9172451193058568,0.10331278199982072,1.0902211185999764
random,1,81076.0,839900.0,66216.0,0.5300229551769965,66216.0,very_long,10.359415856727022,0.8167151808179979,0.0965305393499226,1.22441705932101
dql_mlp_last,1,80468.0,800786.0,75481.0,,75481.0,very_long,9.95160809265795,0.9380250534373913,0.10048627223752662,1.066069606920947
reserve_specialist,1,77073.0,870246.0,60428.0,,60428.0,very_long,11.2911914678292,0.784035914003607,0.08856461276466654,1.2754517773217713
least_busy,1,73512.0,771459.0,75906.0,0.5918636207941401,75906.0,very_long,10.494327456741756,1.03256611165524,0.09528957468899837,0.96846099122599
train_weakest,1,72966.0,738164.0,75629.0,0.5863359293392746,75629.0,very_long,10.11654743305101,1.0364964504015568,0.0988479524875231,0.9647886392785836
greedy_reward,1,30674.0,548649.0,41208.0,,41208.0,lifecycle,17.886451066049425,1.343417878333442,0.05590824005876252,0.7443700252378179
hc_v6_last,1,30663.0,546047.0,44003.0,,44003.0,lifecycle,17.808009653328114,1.4350520170889998,0.05615450684648025,0.6968388518964616
ft_quality,1,30601.0,544061.0,42320.0,0.40671817582210495,42320.0,lifecycle,17.779190222541747,1.3829613411326427,0.05624553129152797,0.723086011342155
ft_quality_last,1,30601.0,544061.0,42320.0,,42320.0,lifecycle,17.779190222541747,1.3829613411326427,0.05624553129152797,0.723086011342155
ft_protect,1,29791.0,544042.0,42420.0,,42420.0,lifecycle,18.261958309556576,1.423919975831627,0.05475863995794442,0.7022866572371523
hc_v6,1,29486.0,540296.0,43393.0,0.4179475952342544,43393.0,lifecycle,18.323814691718102,1.471647561554636,0.05457378918222604,0.6795105201299749
ft_fatigue_last,1,29326.0,543088.0,41712.0,,41712.0,lifecycle,18.518993384709812,1.4223555888972244,0.053998615325693076,0.7030590717299579
batch_milp,1,29060.0,537852.0,43685.0,0.42490557399565065,43685.0,lifecycle,18.508327598072952,1.5032690984170682,0.05402973308642526,0.6652168936705963
optimal_assignment,1,29060.0,537852.0,43685.0,,43685.0,lifecycle,18.508327598072952,1.5032690984170682,0.05402973308642526,0.6652168936705963
shortest_processing,1,29060.0,537852.0,43685.0,,43685.0,lifecycle,18.508327598072952,1.5032690984170682,0.05402973308642526,0.6652168936705963
ft_fatigue,1,28677.0,539997.0,42083.0,,42083.0,lifecycle,18.83031697876347,1.4674826516023294,0.05310585058805882,0.6814390609034527
